urban_rural,region,age,gender,education,employment_status,occupation,country_direction,economic_condition,presidents_performance,trust_president,corruption_level,handle_economy,handle_corruption,news_radio,news_tv,news_newspapers,news_social_media,news_internet,voted_last_election,party_voted_for,education_grouped,occupation_grouped
Rural,Bomet,21.0,Woman,University completed,Unemployed (Actively looking),"Upper-level professional (e.g., banker/finance, doctor, lawyer, engineer, accountant, professor, senior-level government",Going in the wrong direction,Very bad,Strongly disapprove,Not at all,Increased a lot,Very badly,Fairly badly,A few times a week,Every day,A few times a week,Every day,Every day,I voted in the election,Orange Democratic Movement (ODM),Bachelors Degree,Professional
Urban,Baringo,40.0,Man,Secondary school / high school completed,Employed (Full-time),Retail / Shop,Going in the wrong direction,Fairly bad,Approve,Somewhat,Stayed the same,Fairly badly,Fairly badly,Every day,Every day,Never,Never,Never,I did not vote,United Democratic Alliance (UDA),Secondary School,Trader
Urban,Siaya,21.0,Woman,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Employed (Full-time),Trader / hawker / vendor,Going in the wrong direction,Neither good nor bad,Strongly disapprove,Not at all,Increased somewhat,Very badly,Very badly,Every day,Every day,Never,A few times a week,Every day,I voted in the election,Orange Democratic Movement (ODM),Certificate/Diploma,Trader
Urban,Kiambu,34.0,Man,Primary school completed,Employed (Full-time),"Security services (police, army, private security)",Going in the wrong direction,Fairly good,Approve,Somewhat,Decreased somewhat,Fairly badly,Fairly well,Every day,Every day,Never,A few times a week,A few times a week,I voted in the election,United Democratic Alliance (UDA),Primary School,Security Services
Urban,Baringo,37.0,Man,University completed,Employed (Full-time),"Mid-level professional (e.g., teacher, nurse, mid-level government officer)",Going in the right direction,Fairly good,Approve,Not at all,Increased a lot,Fairly well,Fairly badly,Less than once a month,Every day,Never,Every day,Every day,I voted in the election,United Democratic Alliance (UDA),Bachelors Degree,Professional
Urban,Baringo,42.0,Woman,Secondary school / high school completed,Unemployed (Not looking),Housewife / homemaker,Going in the right direction,Neither good nor bad,Undecided/No Response,Undecided/No Response,Stayed the same,Fairly well,Fairly well,Every day,Every day,Less than once a month,A few times a week,A few times a month,I voted in the election,Undecided/No Response,Secondary School,Housewife
Urban,Kiambu,38.0,Woman,Intermediate school or Some secondary school / high school,Unemployed (Actively looking),"Unskilled manual worker (e.g., cleaner, laborer, domestic help, unskilled manufacturing worker)",Going in the right direction,Fairly good,Strongly approve,Just a little,Decreased somewhat,Fairly well,Fairly well,A few times a week,A few times a week,Never,Never,Never,I voted in the election,United Democratic Alliance (UDA),Secondary School,Skilled/Unskilled Labor
Urban,Siaya,27.0,Man,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Employed (Full-time),Agriculture / farming / fishing / forestry,Going in the wrong direction,Very bad,Strongly disapprove,Somewhat,Increased a lot,Very badly,Very badly,Every day,Every day,Every day,A few times a week,A few times a week,I voted in the election,Orange Democratic Movement (ODM),Certificate/Diploma,Agriculture
Urban,Kiambu,35.0,Man,University completed,Employed (Part-time),Trader / hawker / vendor,Going in the wrong direction,Very bad,Disapprove,Just a little,Increased a lot,Very badly,Very badly,Never,Never,Never,Every day,Every day,I did not vote,Would not vote,Bachelors Degree,Trader
Urban,Baringo,25.0,Woman,Secondary school / high school completed,Unemployed (Actively looking),Housewife / homemaker,Going in the right direction,Fairly good,Strongly approve,Somewhat,Increased somewhat,Fairly well,Fairly well,Every day,Every day,Never,A few times a week,A few times a week,I voted in the election,Other,Secondary School,Housewife
Urban,Siaya,22.0,Woman,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Unemployed (Actively looking),Student,Going in the right direction,Fairly good,Strongly disapprove,Just a little,Stayed the same,Fairly well,Very badly,A few times a week,Never,A few times a week,Every day,A few times a week,I voted in the election,Orange Democratic Movement (ODM),Certificate/Diploma,Student
Urban,Siaya,35.0,Woman,Secondary school / high school completed,Unemployed (Actively looking),Trader / hawker / vendor,Going in the wrong direction,Very bad,Strongly disapprove,Just a little,Increased a lot,Very badly,Undecided/No Response,Never,Never,Never,Never,Never,I voted in the election,Would not vote,Secondary School,Trader
Urban,Kiambu,30.0,Woman,Secondary school / high school completed,Employed (Part-time),"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist or skilled manufacturing worker)",Going in the right direction,Very bad,Approve,Somewhat,Increased a lot,Very badly,Very badly,Never,Every day,Never,Every day,A few times a week,I voted in the election,United Democratic Alliance (UDA),Secondary School,Skilled/Unskilled Labor
Urban,Siaya,34.0,Man,University completed,Employed (Full-time),"Mid-level professional (e.g., teacher, nurse, mid-level government officer)",Going in the wrong direction,Neither good nor bad,Strongly disapprove,Not at all,Increased a lot,Very badly,Very badly,Every day,Every day,Every day,Every day,Every day,I voted in the election,Orange Democratic Movement (ODM),Bachelors Degree,Professional
Urban,Kericho,22.0,Woman,Secondary school / high school completed,Unemployed (Actively looking),Housewife / homemaker,Going in the right direction,Fairly good,Strongly approve,A lot,Decreased somewhat,Very well,Fairly well,Every day,Every day,Every day,Every day,Every day,I did not vote,Undecided/No Response,Secondary School,Housewife
Urban,Kericho,48.0,Woman,Secondary school / high school completed,Employed (Full-time),Agriculture / farming / fishing / forestry,Going in the wrong direction,Very bad,Approve,A lot,Increased somewhat,Fairly well,Very badly,Every day,Every day,Every day,A few times a month,A few times a month,I voted in the election,United Democratic Alliance (UDA),Secondary School,Agriculture
Rural,Kakamega,35.0,Woman,Secondary school / high school completed,Unemployed (Actively looking),Housewife / homemaker,Going in the wrong direction,Very bad,Disapprove,Just a little,Increased a lot,Fairly badly,Very badly,A few times a month,Every day,Never,Never,Never,I voted in the election,Orange Democratic Movement (ODM),Secondary School,Housewife
Urban,Kericho,56.0,Man,Secondary school / high school completed,Unemployed (Not looking),Agriculture / farming / fishing / forestry,Going in the right direction,Fairly good,Strongly approve,Somewhat,Stayed the same,Very well,Fairly well,Every day,Every day,Less than once a month,A few times a week,Less than once a month,I voted in the election,United Democratic Alliance (UDA),Secondary School,Agriculture
Urban,Kericho,24.0,Man,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Employed (Part-time),Trader / hawker / vendor,Going in the right direction,Fairly good,Strongly approve,A lot,Stayed the same,Fairly well,Fairly well,A few times a week,Every day,Never,Every day,Every day,I voted in the election,United Democratic Alliance (UDA),Certificate/Diploma,Trader
Rural,Kakamega,52.0,Man,Intermediate school or Some secondary school / high school,Unemployed (Not looking),Other,Going in the wrong direction,Very bad,Disapprove,Somewhat,Increased somewhat,Fairly well,Fairly badly,Every day,A few times a month,Never,A few times a week,A few times a week,I voted in the election,Orange Democratic Movement (ODM),Secondary School,Undecided/No Response
Urban,Homa Bay,24.0,Man,Some university,Employed (Part-time),Student,Going in the wrong direction,Fairly good,Approve,Just a little,Decreased somewhat,Fairly well,Fairly well,Every day,Every day,Never,Every day,Every day,I voted in the election,United Democratic Alliance (UDA),Bachelors Degree,Student
Urban,Homa Bay,24.0,Man,Secondary school / high school completed,Employed (Full-time),"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist or skilled manufacturing worker)",Going in the right direction,Fairly bad,Disapprove,A lot,Increased somewhat,Fairly badly,Fairly well,A few times a week,A few times a week,Never,Every day,Never,I did not vote,Orange Democratic Movement (ODM),Secondary School,Skilled/Unskilled Labor
Urban,Homa Bay,32.0,Woman,Some primary schooling,Unemployed (Actively looking),Trader / hawker / vendor,Going in the wrong direction,Very bad,Strongly disapprove,Just a little,Increased a lot,Fairly badly,Very badly,A few times a week,A few times a week,Never,A few times a week,A few times a week,I voted in the election,Would not vote,Primary School,Trader
Rural,Siaya,64.0,Man,Primary school completed,Unemployed (Actively looking),Agriculture / farming / fishing / forestry,Going in the wrong direction,Very bad,Strongly disapprove,Just a little,Increased a lot,Very badly,Very badly,Every day,Never,Never,Never,Never,I voted in the election,Undecided/No Response,Primary School,Agriculture
Rural,Kakamega,82.0,Woman,No formal schooling,Unemployed (Not looking),Agriculture / farming / fishing / forestry,Going in the wrong direction,Fairly bad,Disapprove,Just a little,Increased a lot,Fairly well,Fairly badly,Every day,Never,Never,Never,Never,I voted in the election,Would not vote,Informal Schooling,Agriculture
Rural,Kitui,63.0,Man,University completed,Unemployed (Actively looking),Agriculture / farming / fishing / forestry,Going in the wrong direction,Neither good nor bad,Strongly approve,Not at all,Increased a lot,Very badly,Very badly,A few times a week,Every day,Never,Every day,Every day,I voted in the election,Wiper Democratic Movement (WDM–K),Bachelors Degree,Agriculture
Urban,Homa Bay,60.0,Man,Post-graduate,Unemployed (Not looking),"Upper-level professional (e.g., banker/finance, doctor, lawyer, engineer, accountant, professor, senior-level government",Undecided/No Response,Fairly good,Disapprove,Just a little,Increased somewhat,Fairly badly,Very badly,Every day,Every day,A few times a week,Every day,Every day,I voted in the election,Orange Democratic Movement (ODM),Masters/PhD,Professional
Rural,Kitui,56.0,Woman,Primary school completed,Employed (Full-time),Retail / Shop,Going in the wrong direction,Neither good nor bad,Approve,A lot,Increased a lot,Very badly,Very badly,Every day,Never,Never,Never,Never,I voted in the election,Wiper Democratic Movement (WDM–K),Primary School,Trader
Rural,Siaya,30.0,Woman,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Unemployed (Actively looking),Trader / hawker / vendor,Undecided/No Response,Very bad,Approve,Just a little,Increased a lot,Fairly badly,Fairly badly,A few times a month,Every day,Less than once a month,A few times a week,A few times a week,I voted in the election,Undecided/No Response,Certificate/Diploma,Trader
Rural,Siaya,25.0,Man,Secondary school / high school completed,Unemployed (Not looking),Agriculture / farming / fishing / forestry,Going in the wrong direction,Fairly bad,Strongly disapprove,Somewhat,Increased a lot,Very badly,Very badly,Every day,Every day,Never,Every day,Every day,I voted in the election,Other,Secondary School,Agriculture
Rural,Siaya,42.0,Woman,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Employed (Full-time),Trader / hawker / vendor,Going in the wrong direction,Neither good nor bad,Disapprove,Not at all,Increased somewhat,Very badly,Very badly,Every day,Every day,Less than once a month,Never,A few times a week,I voted in the election,Orange Democratic Movement (ODM),Certificate/Diploma,Trader
Rural,Kitui,75.0,Man,Primary school completed,Unemployed (Not looking),Agriculture / farming / fishing / forestry,Going in the wrong direction,Very bad,Approve,Not at all,Increased a lot,Fairly badly,Fairly badly,Every day,Never,Never,Never,Never,I voted in the election,Wiper Democratic Movement (WDM–K),Primary School,Agriculture
Rural,Kakamega,70.0,Man,Intermediate school or Some secondary school / high school,Unemployed (Not looking),Agriculture / farming / fishing / forestry,Going in the wrong direction,Very bad,Approve,Not at all,Increased a lot,Fairly badly,Very badly,Every day,Never,Never,Never,Never,I voted in the election,Orange Democratic Movement (ODM),Secondary School,Agriculture
Rural,Kitui,69.0,Man,Intermediate school or Some secondary school / high school,Employed (Full-time),Agriculture / farming / fishing / forestry,Going in the wrong direction,Very bad,Approve,Just a little,Increased a lot,Fairly badly,Fairly badly,Every day,Every day,Less than once a month,A few times a week,A few times a month,I voted in the election,Wiper Democratic Movement (WDM–K),Secondary School,Agriculture
Rural,Kiambu,22.0,Woman,Secondary school / high school completed,Unemployed (Actively looking),Student,Going in the right direction,Neither good nor bad,Approve,Somewhat,Decreased somewhat,Fairly well,Fairly well,Every day,Every day,Never,Every day,Every day,I did not vote,Undecided/No Response,Secondary School,Student
Rural,Kiambu,60.0,Man,Primary school completed,Employed (Part-time),Agriculture / farming / fishing / forestry,Going in the wrong direction,Very bad,Approve,Somewhat,Stayed the same,Very badly,Fairly badly,A few times a week,Every day,Never,Never,Never,I voted in the election,United Democratic Alliance (UDA),Primary School,Agriculture
Rural,Kiambu,25.0,Woman,Secondary school / high school completed,Employed (Full-time),Trader / hawker / vendor,Going in the right direction,Neither good nor bad,Approve,Just a little,Decreased somewhat,Fairly badly,Fairly well,A few times a week,Every day,Never,Every day,Every day,I did not vote,Would not vote,Secondary School,Trader
Rural,Kiambu,40.0,Man,Secondary school / high school completed,Employed (Full-time),Retail / Shop,Going in the wrong direction,Very bad,Strongly disapprove,Just a little,Stayed the same,Fairly badly,Very badly,Every day,Every day,A few times a month,Every day,A few times a week,I voted in the election,Orange Democratic Movement (ODM),Secondary School,Trader
Urban,Kericho,28.0,Woman,University completed,Unemployed (Actively looking),"Mid-level professional (e.g., teacher, nurse, mid-level government officer)",Going in the right direction,Neither good nor bad,Approve,A lot,Increased a lot,Fairly well,Very badly,Every day,Never,Never,Every day,Every day,I voted in the election,Undecided/No Response,Bachelors Degree,Professional
Urban,Kericho,45.0,Man,Some university,Employed (Part-time),Trader / hawker / vendor,Going in the wrong direction,Fairly good,Strongly approve,Somewhat,Decreased somewhat,Fairly well,Fairly well,Every day,Every day,Never,Every day,Every day,I voted in the election,United Democratic Alliance (UDA),Bachelors Degree,Trader
Urban,Kericho,26.0,Man,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Employed (Full-time),"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist or skilled manufacturing worker)",Going in the right direction,Fairly good,Approve,Somewhat,Decreased somewhat,Fairly well,Very badly,Every day,Every day,Never,Every day,Every day,I voted in the election,United Democratic Alliance (UDA),Certificate/Diploma,Skilled/Unskilled Labor
Urban,Kericho,32.0,Woman,Secondary school / high school completed,Employed (Full-time),"Unskilled manual worker (e.g., cleaner, laborer, domestic help, unskilled manufacturing worker)",Going in the wrong direction,Fairly bad,Approve,Just a little,Increased somewhat,Fairly badly,Fairly well,Never,A few times a week,Never,Less than once a month,Never,I voted in the election,Orange Democratic Movement (ODM),Secondary School,Skilled/Unskilled Labor
Urban,Mombasa,29.0,Woman,Secondary school / high school completed,Employed (Part-time),"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist or skilled manufacturing worker)",Going in the wrong direction,Fairly good,Approve,Just a little,Stayed the same,Fairly badly,Fairly badly,A few times a month,Every day,A few times a month,Every day,Every day,I did not vote,Jubilee Alliance Party (JAP),Secondary School,Skilled/Unskilled Labor
Urban,Mombasa,42.0,Man,Primary school completed,Employed (Full-time),"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist or skilled manufacturing worker)",Going in the right direction,Fairly good,Approve,Not at all,Increased a lot,Fairly well,Fairly badly,Every day,Every day,Never,Every day,A few times a week,I voted in the election,Orange Democratic Movement (ODM),Primary School,Skilled/Unskilled Labor
Urban,Kajiado,37.0,Woman,Secondary school / high school completed,Unemployed (Not looking),Trader / hawker / vendor,Going in the wrong direction,Fairly good,Approve,Just a little,Undecided/No Response,Fairly badly,Fairly badly,A few times a week,Never,Never,Never,Never,I did not vote,United Democratic Alliance (UDA),Secondary School,Trader
Urban,Kajiado,30.0,Man,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Employed (Full-time),Agriculture / farming / fishing / forestry,Going in the right direction,Neither good nor bad,Approve,Somewhat,Decreased a lot,Very well,Fairly well,A few times a week,A few times a week,A few times a week,A few times a week,A few times a week,I voted in the election,Undecided/No Response,Certificate/Diploma,Agriculture
Rural,Kakamega,70.0,Man,Intermediate school or Some secondary school / high school,Unemployed (Not looking),"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist or skilled manufacturing worker)",Going in the wrong direction,Very bad,Strongly disapprove,Just a little,Increased somewhat,Very badly,Very badly,Every day,A few times a month,Never,Never,Never,I voted in the election,Orange Democratic Movement (ODM),Secondary School,Skilled/Unskilled Labor
Urban,Kajiado,23.0,Man,Intermediate school or Some secondary school / high school,Employed (Part-time),"Unskilled manual worker (e.g., cleaner, laborer, domestic help, unskilled manufacturing worker)",Going in the wrong direction,Fairly bad,Strongly approve,A lot,Increased a lot,Very badly,Very badly,Every day,Never,Never,A few times a week,A few times a week,I voted in the election,Roots Party of Kenya (RPK),Secondary School,Skilled/Unskilled Labor
Urban,Kajiado,22.0,Man,Secondary school / high school completed,Employed (Part-time),"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist or skilled manufacturing worker)",Going in the wrong direction,Fairly good,Approve,Just a little,Increased somewhat,Fairly well,Fairly badly,A few times a week,A few times a week,Never,A few times a week,Never,I voted in the election,Orange Democratic Movement (ODM),Secondary School,Skilled/Unskilled Labor
Urban,Mombasa,29.0,Woman,Primary school completed,Employed (Full-time),Trader / hawker / vendor,Going in the wrong direction,Very bad,Strongly disapprove,Not at all,Increased a lot,Very badly,Very badly,A few times a month,Every day,Less than once a month,Every day,A few times a week,I did not vote,Orange Democratic Movement (ODM),Primary School,Trader
Urban,Mombasa,35.0,Man,University completed,Employed (Part-time),"Unskilled manual worker (e.g., cleaner, laborer, domestic help, unskilled manufacturing worker)",Going in the wrong direction,Very bad,Disapprove,Just a little,Increased a lot,Fairly badly,Very badly,Every day,Every day,A few times a month,Every day,Every day,I voted in the election,Wiper Democratic Movement (WDM–K),Bachelors Degree,Skilled/Unskilled Labor
Rural,Kakamega,60.0,Man,Post-graduate,Employed (Full-time),"Upper-level professional (e.g., banker/finance, doctor, lawyer, engineer, accountant, professor, senior-level government",Going in the right direction,Fairly good,Approve,Somewhat,Stayed the same,Fairly well,Fairly badly,Every day,Every day,Every day,Every day,Every day,I voted in the election,Would not vote,Masters/PhD,Professional
Rural,Kakamega,46.0,Woman,Secondary school / high school completed,Unemployed (Not looking),Agriculture / farming / fishing / forestry,Going in the wrong direction,Fairly bad,Approve,Not at all,Increased a lot,Fairly badly,Fairly badly,Never,Every day,Never,A few times a week,Never,I did not vote,Orange Democratic Movement (ODM),Secondary School,Agriculture
Rural,Siaya,60.0,Woman,No formal schooling,Unemployed (Not looking),Agriculture / farming / fishing / forestry,Going in the wrong direction,Very bad,Strongly disapprove,Somewhat,Increased somewhat,Very badly,Undecided/No Response,A few times a week,A few times a week,Never,Never,Never,I voted in the election,Orange Democratic Movement (ODM),Informal Schooling,Agriculture
Rural,Siaya,18.0,Woman,Primary school completed,Unemployed (Not looking),"Unskilled manual worker (e.g., cleaner, laborer, domestic help, unskilled manufacturing worker)",Going in the wrong direction,Very bad,Disapprove,A lot,Increased somewhat,Fairly badly,Very well,A few times a week,A few times a week,Never,Never,Never,I did not vote,Would not vote,Primary School,Skilled/Unskilled Labor
Rural,Siaya,18.0,Man,Secondary school / high school completed,Unemployed (Actively looking),"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist or skilled manufacturing worker)",Going in the right direction,Fairly good,Approve,Somewhat,Decreased somewhat,Fairly well,Fairly well,Every day,Every day,Never,Every day,Every day,I did not vote,Orange Democratic Movement (ODM),Secondary School,Skilled/Unskilled Labor
Rural,Tana River,22.0,Woman,No formal schooling,Unemployed (Actively looking),Housewife / homemaker,Going in the wrong direction,Neither good nor bad,Approve,Somewhat,Increased somewhat,Fairly badly,Fairly badly,A few times a week,Never,Never,Never,Never,I did not vote,Orange Democratic Movement (ODM),Informal Schooling,Housewife
Rural,Tana River,41.0,Woman,Informal schooling only (including Koranic schooling),Unemployed (Actively looking),Housewife / homemaker,Going in the wrong direction,Fairly bad,Disapprove,Just a little,Stayed the same,Fairly badly,Very badly,A few times a week,Never,Never,Never,Never,I voted in the election,United Democratic Alliance (UDA),Informal Schooling,Housewife
Rural,Siaya,45.0,Man,Primary school completed,Unemployed (Not looking),Agriculture / farming / fishing / forestry,Going in the wrong direction,Very bad,Strongly disapprove,Not at all,Increased a lot,Very badly,Very badly,Every day,Never,Never,Never,Never,I voted in the election,Orange Democratic Movement (ODM),Primary School,Agriculture
Rural,Tana River,39.0,Man,No formal schooling,Unemployed (Actively looking),Agriculture / farming / fishing / forestry,Going in the wrong direction,Very bad,Strongly approve,Just a little,Increased a lot,Fairly badly,Fairly badly,Every day,Never,Never,Never,Never,I voted in the election,United Democratic Alliance (UDA),Informal Schooling,Agriculture
Rural,Kakamega,70.0,Woman,Primary school completed,Unemployed (Not looking),Trader / hawker / vendor,Going in the wrong direction,Very bad,Strongly disapprove,Just a little,Increased a lot,Very badly,Very badly,Every day,Never,Never,Never,Never,I voted in the election,Orange Democratic Movement (ODM),Primary School,Trader
Rural,Tana River,24.0,Man,Secondary school / high school completed,Employed (Full-time),"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist or skilled manufacturing worker)",Going in the wrong direction,Fairly bad,Disapprove,Somewhat,Increased a lot,Very badly,Fairly badly,Every day,Every day,Never,Every day,Never,I voted in the election,Orange Democratic Movement (ODM),Secondary School,Skilled/Unskilled Labor
Rural,Isiolo,23.0,Woman,Primary school completed,Unemployed (Actively looking),Housewife / homemaker,Going in the wrong direction,Very bad,Disapprove,Just a little,Stayed the same,Very badly,Very badly,Every day,A few times a week,Never,A few times a week,Never,I voted in the election,Orange Democratic Movement (ODM),Primary School,Housewife
Rural,Isiolo,66.0,Man,Some primary schooling,Unemployed (Not looking),"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist or skilled manufacturing worker)",Going in the right direction,Very bad,Approve,A lot,Decreased somewhat,Fairly well,Very well,Every day,A few times a week,Never,Never,Never,I voted in the election,United Democratic Alliance (UDA),Primary School,Skilled/Unskilled Labor
Rural,Kitui,55.0,Woman,Primary school completed,Unemployed (Actively looking),Agriculture / farming / fishing / forestry,Going in the wrong direction,Very bad,Approve,Just a little,Increased a lot,Fairly well,Very badly,Every day,Never,Never,Never,Never,I voted in the election,Wiper Democratic Movement (WDM–K),Primary School,Agriculture
Rural,Kiambu,46.0,Woman,Secondary school / high school completed,Employed (Part-time),Agriculture / farming / fishing / forestry,Going in the right direction,Fairly good,Strongly disapprove,A lot,Stayed the same,Fairly badly,Very badly,A few times a week,Every day,A few times a month,Never,Never,I voted in the election,Other,Secondary School,Agriculture
Rural,Kiambu,19.0,Man,Secondary school / high school completed,Employed (Part-time),Student,Going in the right direction,Fairly bad,Disapprove,Not at all,Increased a lot,Fairly badly,Fairly well,Every day,A few times a week,Never,Never,Never,I was too young to vote,United Democratic Alliance (UDA),Secondary School,Student
Rural,Isiolo,35.0,Woman,Primary school completed,Employed (Full-time),"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist or skilled manufacturing worker)",Going in the right direction,Fairly bad,Approve,A lot,Decreased somewhat,Fairly well,Very well,Every day,Every day,Never,Every day,Every day,I voted in the election,Undecided/No Response,Primary School,Skilled/Unskilled Labor
Rural,Isiolo,21.0,Man,Some university,Unemployed (Actively looking),Student,Going in the right direction,Neither good nor bad,Approve,Somewhat,Decreased somewhat,Fairly well,Fairly well,Never,Every day,Never,Every day,Every day,I did not vote,Would not vote,Bachelors Degree,Student
Rural,Kitui,43.0,Man,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Employed (Full-time),"Mid-level professional (e.g., teacher, nurse, mid-level government officer)",Going in the right direction,Fairly good,Approve,Somewhat,Stayed the same,Fairly well,Fairly badly,A few times a week,Every day,A few times a month,Every day,Every day,I voted in the election,United Democratic Alliance (UDA),Certificate/Diploma,Professional
Rural,Samburu,27.0,Woman,Primary school completed,Employed (Full-time),Retail / Shop,Going in the right direction,Fairly bad,Approve,A lot,Increased a lot,Fairly badly,Fairly badly,A few times a week,Never,Never,Never,Never,I voted in the election,Undecided/No Response,Primary School,Trader
Rural,Samburu,24.0,Man,Some university,Employed (Part-time),Retail / Shop,Going in the wrong direction,Fairly bad,Approve,Not at all,Increased somewhat,Very badly,Very badly,Every day,Never,Never,Every day,Every day,I did not vote,United Democratic Alliance (UDA),Bachelors Degree,Trader
Rural,Kitui,20.0,Woman,Primary school completed,Unemployed (Actively looking),Agriculture / farming / fishing / forestry,Going in the right direction,Fairly good,Undecided/No Response,A lot,Decreased somewhat,Fairly well,Fairly well,Never,Never,A few times a week,Never,Never,I did not vote,Undecided/No Response,Primary School,Agriculture
Rural,Samburu,70.0,Man,Primary school completed,Unemployed (Not looking),"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist or skilled manufacturing worker)",Going in the right direction,Fairly bad,Approve,A lot,Decreased a lot,Fairly badly,Fairly well,Every day,Every day,Never,Never,Never,I voted in the election,United Democratic Alliance (UDA),Primary School,Skilled/Unskilled Labor
Rural,Samburu,38.0,Woman,Primary school completed,Employed (Full-time),Trader / hawker / vendor,Going in the right direction,Neither good nor bad,Strongly approve,Not at all,Decreased somewhat,Fairly badly,Fairly well,Never,Every day,Never,Never,Never,I voted in the election,United Democratic Alliance (UDA),Primary School,Trader
Rural,Elgeyo Marakwet,24.0,Woman,Intermediate school or Some secondary school / high school,Employed (Full-time),"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist or skilled manufacturing worker)",Going in the wrong direction,Fairly bad,Strongly approve,Just a little,Decreased somewhat,Fairly well,Fairly well,Every day,Never,Never,Never,Never,I voted in the election,Undecided/No Response,Secondary School,Skilled/Unskilled Labor
Urban,Kajiado,40.0,Man,Secondary school / high school completed,Unemployed (Actively looking),Trader / hawker / vendor,Going in the wrong direction,Fairly bad,Approve,Somewhat,Increased somewhat,Very badly,Very badly,Every day,A few times a week,Less than once a month,Never,Never,I voted in the election,Orange Democratic Movement (ODM),Secondary School,Trader
Urban,Mombasa,45.0,Man,Secondary school / high school completed,Employed (Full-time),Trader / hawker / vendor,Going in the wrong direction,Neither good nor bad,Approve,Somewhat,Decreased a lot,Fairly well,Fairly badly,A few times a week,Every day,Never,Every day,Every day,I did not vote,United Democratic Alliance (UDA),Secondary School,Trader
Rural,Kiambu,48.0,Man,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Unemployed (Actively looking),Agriculture / farming / fishing / forestry,Going in the right direction,Fairly bad,Approve,A lot,Stayed the same,Fairly well,Fairly well,A few times a week,A few times a week,A few times a month,Every day,Every day,I voted in the election,United Democratic Alliance (UDA),Certificate/Diploma,Agriculture
Rural,Kitui,52.0,Woman,Some primary schooling,Unemployed (Actively looking),Agriculture / farming / fishing / forestry,Going in the wrong direction,Very bad,Disapprove,Just a little,Undecided/No Response,Fairly badly,Fairly badly,Every day,Never,Undecided/No Response,Undecided/No Response,Never,I voted in the election,Wiper Democratic Movement (WDM–K),Primary School,Agriculture
Urban,Kajiado,31.0,Woman,Secondary school / high school completed,Employed (Full-time),Trader / hawker / vendor,Going in the wrong direction,Very bad,Strongly disapprove,Not at all,Increased a lot,Very badly,Very badly,A few times a week,A few times a month,Never,Never,Never,I voted in the election,United Democratic Alliance (UDA),Secondary School,Trader
Rural,Elgeyo Marakwet,55.0,Woman,Primary school completed,Unemployed (Not looking),Agriculture / farming / fishing / forestry,Going in the wrong direction,Fairly bad,Approve,A lot,Increased a lot,Very well,Fairly well,Every day,Every day,Never,A few times a month,Less than once a month,I voted in the election,United Democratic Alliance (UDA),Primary School,Agriculture
Rural,Kiambu,18.0,Woman,Secondary school / high school completed,Unemployed (Actively looking),Student,Going in the wrong direction,Fairly good,Approve,Just a little,Increased a lot,Very badly,Very badly,Every day,A few times a week,A few times a month,A few times a month,A few times a week,I did not vote,Orange Democratic Movement (ODM),Secondary School,Student
Urban,Kajiado,33.0,Woman,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Unemployed (Actively looking),"Mid-level professional (e.g., teacher, nurse, mid-level government officer)",Going in the right direction,Fairly bad,Approve,Just a little,Increased a lot,Fairly well,Very badly,A few times a week,Never,Never,A few times a month,Never,I did not vote,United Democratic Alliance (UDA),Certificate/Diploma,Professional
Urban,Kajiado,30.0,Woman,Secondary school / high school completed,Employed (Part-time),Agriculture / farming / fishing / forestry,Going in the wrong direction,Fairly bad,Approve,Somewhat,Increased a lot,Fairly well,Fairly badly,Every day,Every day,A few times a month,Never,Never,I voted in the election,Undecided/No Response,Secondary School,Agriculture
